,index,name_x,name_y,cardwin_x,w_x,turn_x,turn_y,winrates,winrates_x,winrates_y,combowin,meanturn
402,138710,Heroic Strike,Mortal Strike,734.0,1074,7823,7823,0.683426443203,0.486072253984,0.473602484472,1.08814869843,7.28398510242
475,18407,Armor Up!,Ornery Direhorn,177.0,290,2798,2798,0.610344827586,0.407321525482,0.521142857143,1.05615230295,9.64827586207
378,288333,The Curator,Armor Up!,343.0,547,5608,5608,0.627056672761,0.546992675126,0.407321525482,1.0347539289,10.252285192
377,220547,Primordial Drake,Armor Up!,602.0,931,10484,10484,0.646616541353,0.565579167914,0.407321525482,1.03205558146,11.261009667
403,274774,Steady Shot,Mortal Strike,134.0,218,1635,1635,0.614678899083,0.466926768017,0.473602484472,1.02231453394,7.5
215,45083,Cabalist's Tome,Fireball,661.0,853,10303,10303,0.774912075029,0.48431417449,0.579296477163,1.01595663646,12.0785463072
274,306867,Vanish,Patches the Pirate,195.0,280,2143,2143,0.696428571429,0.478458049887,0.533454771637,1.00377768589,7.65357142857
414,268535,Southsea Deckhand,Vanish,257.0,385,3115,3115,0.667532467532,0.515411495901,0.478458049887,0.995809168778,8.09090909091
376,279630,Sulfuras,Armor Up!,626.0,909,10822,10822,0.688668866887,0.642728256947,0.407321525482,0.967190955013,11.9053905391
474,17984,Armor Up!,Direhorn Matriarch,295.0,471,6168,6168,0.626326963907,0.407321525482,0.593201133144,0.952491437337,13.0955414013
17,266098,Sorcerer's Apprentice,Archmage Antonidas,569.0,675,8508,8508,0.842962962963,0.517443367373,0.629129441097,0.951441192858,12.6044444444
476,273181,Stampeding Kodo,Aldor Peacekeeper,316.0,505,5574,5574,0.625742574257,0.507630103039,0.477554829678,0.948262323667,11.0376237624
3,170399,Leeroy Jenkins,Soulfire,176.0,219,2309,2309,0.803652968037,0.618143630342,0.504091653028,0.947443878391,10.5433789954
479,191422,Mind Vision,Power Word: Shield,152.0,252,2137,2137,0.603174603175,0.457914240339,0.515345141533,0.938443218958,8.48015873016
292,306949,Vanish,Stonetusk Boar,313.0,456,3812,3812,0.686403508772,0.478458049887,0.562138475022,0.9369041856,8.35964912281
