,name,t0,t1,armor,artist,attack,cardClass,classes,collectible,collectionText,cost,dbfId,durability,elite,entourage,faction,flavor,health,hideStats,howToEarn,howToEarnGolden,id,mechanics,multiClassGroup,overload,playRequirements,playerClass,race,rarity,referencedTags,set,spellDamage,targetingArrowText,text,type,card_class_num,cardwin,w,winrates
0,'Inspired',-22.1820487976,-6.72633361816,,,,NEUTRAL,,,,,809.0,,,,,,,,,,CS2_188o,[TAG_ONE_TURN_EFFECT],,,,NEUTRAL,,,,EXPERT1,,,This minion has +2 Attack this turn.,ENCHANTMENT,0,2.0,3,0.666666666667
1,A Light in the Darkness,26.28383255,-30.4845428467,,Zoltan Boros,,PALADIN,,1.0,,2.0,38913.0,,,,,"Wait, how can you have a light in the dark?  If you turn on a light while it’s dark, doesn’t that mean it’s no longer dark?",,,,,OG_311,,,,,PALADIN,,COMMON,[DISCOVER],OG,,,"<b>Discover</b> a minion.
Give it +1/+1.",SPELL,1,253.0,613,0.412724306688
2,AFK,6.54925203323,4.66286420822,,,,NEUTRAL,,,,,1740.0,,,,,,,,,,GAME_004,,,,,NEUTRAL,,,,CORE,,,Your turns are shorter.,ENCHANTMENT,0,1.0,3,0.333333333333
3,Aberrant Berserker,6.69998216629,20.7051887512,,Jim Nelson,3.0,NEUTRAL,,1.0,,4.0,38531.0,,,,,"I berserk, therefore I am.",5.0,,,,OG_150,[ENRAGED],,,,NEUTRAL,,COMMON,,OG,,,<b>Enrage:</b> +2 Attack.,MINION,0,29.0,62,0.467741935484
4,Abominable Bowman,-17.4874725342,-27.3236255646,,L. Lullabi & K. Turovec,6.0,HUNTER,,1.0,,7.0,43245.0,,,,,Frosty the Bowman... was an angry hateful soul... with a fresh hewn bow and a missing nose...,7.0,,,,ICC_825,[DEATHRATTLE],,,,HUNTER,,EPIC,,ICECROWN,,,"[x]<b>Deathrattle:</b> Summon
a random friendly Beast
that died this game.",MINION,2,16.0,27,0.592592592593
5,Abomination,9.61366844177,-16.8045425415,,Alex Horley Orlandelli,4.0,NEUTRAL,,1.0,,5.0,440.0,,,,,Abominations enjoy Fresh Meat and long walks on the beach.,4.0,,,,EX1_097,"[DEATHRATTLE, TAUNT]",,,,NEUTRAL,,RARE,,EXPERT1,,,"<b>Taunt</b>. <b>Deathrattle:</b> Deal 2
damage to ALL characters.",MINION,0,258.0,707,0.364922206506
6,Abusive Sergeant,-25.5919933319,-14.309094429,,Luca Zontini,1.0,NEUTRAL,,1.0,,1.0,242.0,,,,ALLIANCE,"ADD ME TO YOUR DECK, MAGGOT!",1.0,,,,CS2_188,[BATTLECRY],,,"{u'REQ_TARGET_IF_AVAILABLE': 0, u'REQ_MINION_TARGET': 0}",NEUTRAL,,COMMON,,EXPERT1,,Grant +2 Attack.,<b>Battlecry:</b> Give a minion +2 Attack this turn.,MINION,0,8964.0,16774,0.534398473829
7,Abyssal Enforcer,-46.0713233948,-1.87874996662,,Luke Mancini,6.0,WARLOCK,,1.0,,7.0,40541.0,,,,,The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND.,6.0,,,,CFM_751,[BATTLECRY],,,,WARLOCK,DEMON,COMMON,,GANGS,,,<b>Battlecry:</b> Deal 3 damage to all other characters.,MINION,3,2864.0,4922,0.581877285656
8,Acherus Veteran,-27.941034317,-3.58689594269,,Luke Mancini,2.0,NEUTRAL,,1.0,,1.0,42773.0,,,,,This is my Runeblade. There are many like it but this one is mine.,1.0,,,,ICC_092,[BATTLECRY],,,"{u'REQ_FRIENDLY_TARGET': 0, u'REQ_MINION_TARGET': 0, u'REQ_TARGET_IF_AVAILABLE': 0}",NEUTRAL,,COMMON,,ICECROWN,,,<b>Battlecry:</b> Give a friendly minion +1 Attack.,MINION,0,547.0,1027,0.532619279455
9,Acidic Swamp Ooze,-17.0841808319,-1.75355267525,,Chris Rahn,3.0,NEUTRAL,,1.0,,2.0,906.0,,,,ALLIANCE,Oozes love Flamenco.  Don't ask.,2.0,,,Unlocked at Rogue Level 57.,EX1_066,[BATTLECRY],,,,NEUTRAL,,FREE,,CORE,,,<b>Battlecry:</b> Destroy your opponent's weapon.,MINION,0,8326.0,16844,0.494300641178
10,Acidmaw,-23.449426651,-24.3257312775,,Andrew Hou,4.0,HUNTER,,1.0,,7.0,2633.0,,1.0,,,"With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!",2.0,,,,AT_063,,,,,HUNTER,BEAST,LEGENDARY,,TGT,,,"Whenever another minion takes damage, destroy it.",MINION,2,30.0,65,0.461538461538
11,Acolyte of Agony,-32.0207481384,22.0369586945,,Brom,3.0,PRIEST,,1.0,,3.0,42596.0,,,,,It takes many years of practiced study in order to fully master agony.,3.0,,,,ICC_212,[LIFESTEAL],,,,PRIEST,,COMMON,,ICECROWN,,,<b>Lifesteal</b>,MINION,4,35.0,82,0.426829268293
12,Acolyte of Pain,4.37543869019,23.3552093506,,Dave Kendall,1.0,NEUTRAL,,1.0,,3.0,1659.0,,,,,"He trained when he was younger to be an acolyte of joy, but things didn’t work out like he thought they would.",3.0,,,,EX1_007,,,,,NEUTRAL,,COMMON,,EXPERT1,,,"Whenever this minion takes damage, draw a card.",MINION,0,18385.0,35628,0.516026720557
